iter	Passed	Remaining
0	166	83113
1	210	52492
2	261	43265
3	294	36475
4	323	32008
5	352	29036
6	369	26006
7	401	24663
8	430	23462
9	460	22574
10	492	21899
11	529	21526
12	564	21142
13	596	20701
14	626	20260
15	662	20033
16	696	19780
17	731	19589
18	761	19289
19	793	19034
20	810	18478
21	843	18326
22	862	17895
23	892	17707
24	925	17585
25	958	17472
26	986	17277
27	1016	17129
28	1045	16976
29	1074	16830
30	1104	16714
31	1138	16645
32	1172	16595
33	1194	16371
34	1227	16307
35	1262	16276
36	1294	16202
37	1324	16108
38	1354	16011
39	1390	15989
40	1433	16046
41	1462	15952
42	1474	15668
43	1517	15726
44	1551	15692
45	1579	15592
46	1608	15503
47	1637	15418
48	1650	15190
49	1668	15017
50	1697	14948
51	1718	14808
52	1730	14598
53	1758	14524
54	1779	14395
55	1805	14317
56	1834	14259
57	1858	14161
58	1891	14140
59	1921	14091
60	1950	14040
61	1980	13988
62	2000	13873
63	2028	13817
64	2059	13782
65	2072	13627
66	2089	13504
67	2122	13481
68	2155	13461
69	2187	13438
70	2198	13285
71	2224	13225
72	2250	13164
73	2277	13112
74	2307	13074
75	2336	13034
76	2346	12889
77	2372	12834
78	2389	12731
79	2421	12714
80	2453	12693
81	2487	12679
82	2518	12651
83	2550	12632
84	2584	12618
85	2615	12591
86	2645	12559
87	2678	12540
88	2714	12534
89	2737	12468
90	2769	12449
91	2803	12431
92	2833	12401
93	2866	12380
94	2898	12357
95	2923	12302
96	2956	12284
97	2990	12266
98	3024	12251
99	3053	12215
100	3082	12175
101	3115	12157
102	3148	12133
103	3177	12099
104	3206	12062
105	3235	12026
106	3269	12009
107	3302	11988
108	3339	11979
109	3373	11959
110	3404	11931
111	3435	11900
112	3465	11870
113	3494	11832
114	3524	11799
115	3552	11761
116	3586	11741
117	3620	11721
118	3647	11679
119	3681	11658
120	3716	11639
121	3747	11610
122	3783	11596
123	3814	11567
124	3848	11545
125	3884	11530
126	3920	11514
127	3950	11481
128	3981	11449
129	4011	11416
130	4044	11391
131	4074	11359
132	4106	11331
133	4138	11302
134	4174	11287
135	4203	11251
136	4237	11228
137	4273	11211
138	4311	11196
139	4346	11176
140	4378	11147
141	4412	11124
142	4442	11091
143	4472	11058
144	4506	11033
145	4536	10999
146	4569	10972
147	4601	10944
148	4631	10910
149	4667	10891
150	4695	10853
151	4726	10820
152	4754	10782
153	4785	10751
154	4819	10727
155	4854	10704
156	4884	10671
157	4922	10654
158	4960	10638
159	4990	10603
160	5021	10572
161	5053	10543
162	5086	10515
163	5117	10483
164	5147	10451
165	5181	10425
166	5213	10395
167	5244	10363
168	5277	10336
169	5310	10307
170	5341	10277
171	5375	10250
172	5406	10220
173	5441	10195
174	5475	10169
175	5509	10142
176	5542	10113
177	5575	10085
178	5607	10055
179	5639	10025
180	5676	10005
181	5707	9972
182	5738	9939
183	5767	9904
184	5798	9873
185	5832	9845
186	5863	9814
187	5894	9783
188	5923	9747
189	5953	9714
190	5982	9679
191	6013	9646
192	6043	9612
193	6071	9576
194	6100	9542
195	6133	9513
196	6166	9484
197	6197	9452
198	6224	9414
199	6254	9381
200	6285	9350
201	6317	9319
202	6344	9282
203	6377	9253
204	6406	9219
205	6436	9185
206	6465	9151
207	6494	9116
208	6526	9086
209	6557	9055
210	6596	9035
211	6627	9003
212	6654	8966
213	6683	8931
214	6713	8899
215	6743	8866
216	6776	8837
217	6807	8805
218	6840	8776
219	6871	8745
220	6900	8711
221	6933	8682
222	6964	8650
223	6992	8615
224	7023	8584
225	7057	8556
226	7091	8528
227	7126	8501
228	7157	8470
229	7188	8438
230	7217	8404
231	7247	8372
232	7281	8344
233	7319	8321
234	7360	8300
235	7390	8267
236	7422	8236
237	7455	8207
238	7488	8177
239	7519	8145
240	7550	8114
241	7581	8082
242	7612	8051
243	7644	8020
244	7677	7991
245	7708	7959
246	7737	7925
247	7766	7891
248	7796	7859
249	7826	7826
