iter	Passed	Remaining
0	26	13436
1	57	14346
2	87	14527
3	118	14639
4	148	14696
5	179	14816
6	194	13732
7	227	13966
8	264	14411
9	316	15514
10	347	15437
11	379	15418
12	414	15523
13	443	15410
14	472	15292
15	502	15211
16	534	15179
17	564	15126
18	595	15064
19	622	14951
20	639	14579
21	668	14522
22	687	14250
23	715	14191
24	745	14170
25	778	14201
26	804	14096
27	831	14019
28	862	14002
29	890	13944
30	918	13889
31	948	13864
32	985	13943
33	1014	13906
34	1055	14017
35	1092	14080
36	1134	14195
37	1180	14349
38	1211	14325
39	1238	14240
40	1270	14228
41	1300	14184
42	1312	13945
43	1340	13887
44	1368	13836
45	1399	13816
46	1429	13781
47	1458	13738
48	1469	13521
49	1484	13359
50	1516	13350
51	1538	13250
52	1553	13102
53	1588	13119
54	1610	13032
55	1641	13012
56	1671	12987
57	1696	12928
58	1727	12910
59	1756	12879
60	1785	12847
61	1814	12815
62	1834	12723
63	1862	12691
64	1892	12666
65	1903	12514
66	1917	12392
67	1947	12370
68	1975	12339
69	2008	12336
70	2020	12207
71	2049	12185
72	2078	12157
73	2107	12134
74	2139	12125
75	2168	12098
76	2179	11970
77	2207	11940
78	2221	11840
79	2248	11804
80	2277	11782
81	2305	11752
82	2333	11723
83	2362	11700
84	2392	11682
85	2422	11661
86	2452	11642
87	2489	11653
88	2518	11631
89	2538	11565
90	2570	11552
91	2603	11547
92	2632	11519
93	2661	11494
94	2692	11476
95	2716	11431
96	2749	11421
97	2781	11408
98	2815	11406
99	2848	11394
100	2879	11375
101	2909	11352
102	2939	11330
103	2969	11306
104	3000	11289
105	3030	11265
106	3065	11258
107	3096	11237
108	3126	11216
109	3155	11186
110	3184	11159
111	3215	11140
112	3247	11121
113	3278	11099
114	3306	11070
115	3337	11049
116	3369	11028
117	3399	11006
118	3428	10977
119	3456	10944
120	3487	10923
121	3515	10892
122	3545	10868
123	3576	10845
124	3606	10818
125	3633	10786
126	3665	10764
127	3693	10734
128	3723	10708
129	3755	10688
130	3785	10663
131	3818	10644
132	3851	10627
133	3883	10606
134	3929	10622
135	3958	10593
136	3987	10564
137	4019	10543
138	4055	10532
139	4089	10514
140	4124	10501
141	4156	10479
142	4189	10457
143	4220	10434
144	4253	10414
145	4291	10405
146	4322	10381
147	4354	10355
148	4385	10331
149	4420	10314
150	4450	10286
151	4481	10261
152	4512	10235
153	4544	10210
154	4575	10183
155	4606	10157
156	4642	10143
157	4682	10135
158	4711	10104
159	4743	10079
160	4774	10054
161	4809	10033
162	4840	10007
163	4872	9981
164	4905	9959
165	4938	9936
166	4969	9908
167	5003	9887
168	5035	9861
169	5074	9850
170	5105	9822
171	5138	9799
172	5170	9774
173	5204	9750
174	5235	9723
175	5268	9699
176	5299	9671
177	5328	9638
178	5360	9613
179	5392	9586
180	5419	9551
181	5447	9518
182	5478	9489
183	5507	9458
184	5540	9433
185	5571	9405
186	5605	9382
187	5636	9353
188	5665	9323
189	5699	9299
190	5732	9273
191	5764	9247
192	5797	9222
193	5828	9194
194	5859	9165
195	5895	9143
196	5927	9116
197	5959	9090
198	5993	9065
199	6024	9036
200	6058	9012
201	6091	8986
202	6120	8955
203	6151	8924
204	6181	8895
205	6215	8870
206	6254	8852
207	6285	8824
208	6317	8796
209	6348	8766
210	6381	8741
211	6414	8713
212	6445	8684
213	6474	8652
214	6503	8621
215	6533	8590
216	6568	8566
217	6604	8543
218	6635	8514
219	6667	8485
220	6694	8451
221	6726	8422
222	6757	8393
223	6790	8366
224	6823	8340
225	6858	8315
226	6900	8298
227	6930	8268
228	6965	8242
229	6997	8214
230	7030	8186
231	7061	8156
232	7091	8126
233	7121	8095
234	7152	8066
235	7184	8036
236	7214	8006
237	7246	7977
238	7280	7950
239	7312	7921
240	7343	7891
241	7377	7865
242	7413	7840
243	7450	7817
244	7480	7785
245	7510	7754
246	7539	7723
247	7570	7692
248	7598	7659
249	7628	7628
250	7655	7594
251	7683	7561
252	7712	7529
253	7741	7497
254	7770	7465
255	7800	7434
256	7830	7403
257	7861	7373
258	7892	7343
259	7921	7312
260	7952	7282
261	7984	7253
262	8016	7224
263	8048	7194
264	8080	7165
265	8109	7134
266	8139	7102
267	8169	7072
268	8201	7043
269	8233	7014
270	8262	6981
271	8297	6955
272	8326	6923
273	8356	6892
274	8385	6861
275	8415	6829
276	8445	6798
277	8475	6768
278	8506	6737
279	8537	6707
280	8567	6677
281	8597	6646
282	8642	6626
283	8672	6596
284	8702	6565
285	8740	6539
286	8772	6510
287	8804	6481
288	8839	6453
289	8873	6425
290	8904	6395
291	8933	6363
292	8964	6333
293	8995	6302
294	9028	6274
295	9063	6246
296	9111	6227
297	9141	6196
298	9170	6164
299	9201	6134
300	9231	6103
301	9264	6074
302	9299	6045
303	9328	6014
304	9359	5984
305	9392	5954
306	9421	5923
307	9452	5892
308	9483	5861
309	9515	5831
310	9547	5801
311	9580	5772
312	9610	5741
313	9641	5710
314	9670	5679
315	9701	5648
316	9732	5618
317	9767	5590
318	9804	5563
319	9836	5533
320	9868	5503
321	9903	5474
322	9936	5445
323	9967	5414
324	9997	5383
325	10029	5352
326	10058	5321
327	10091	5291
328	10121	5260
329	10149	5228
330	10183	5199
331	10221	5172
332	10253	5142
333	10283	5111
334	10313	5079
335	10343	5048
336	10369	5015
337	10400	4984
338	10438	4957
339	10472	4928
340	10501	4896
341	10530	4865
342	10561	4834
343	10592	4803
344	10620	4771
345	10667	4747
346	10701	4718
347	10730	4686
348	10759	4655
349	10789	4623
350	10820	4593
351	10850	4562
352	10880	4531
353	10918	4503
354	10970	4480
355	11012	4454
356	11053	4427
357	11085	4397
358	11116	4365
359	11146	4334
360	11182	4305
361	11216	4276
362	11253	4247
363	11288	4217
364	11325	4188
365	11356	4157
366	11388	4127
367	11418	4095
368	11453	4066
369	11488	4036
370	11521	4006
371	11552	3974
372	11582	3943
373	11619	3914
374	11650	3883
375	11681	3852
376	11712	3821
377	11744	3790
378	11776	3759
379	11816	3731
380	11847	3700
381	11879	3669
382	11911	3638
383	11946	3608
384	11981	3578
385	12013	3547
386	12045	3517
387	12081	3487
388	12111	3456
389	12147	3426
390	12180	3395
391	12210	3364
392	12240	3332
393	12274	3302
394	12307	3271
395	12342	3241
396	12377	3211
397	12411	3180
398	12447	3150
399	12482	3120
400	12513	3089
401	12544	3058
402	12576	3027
403	12612	2996
404	12645	2966
405	12677	2935
406	12706	2903
407	12739	2872
408	12771	2841
409	12804	2810
410	12838	2780
411	12872	2749
412	12908	2719
413	12941	2688
414	12974	2657
415	13013	2627
416	13053	2598
417	13091	2568
418	13125	2537
419	13162	2507
420	13199	2476
421	13231	2445
422	13270	2415
423	13307	2385
424	13343	2354
425	13373	2323
426	13402	2291
427	13437	2260
428	13468	2229
429	13502	2198
430	13543	2168
431	13573	2136
432	13601	2104
433	13633	2073
434	13668	2042
435	13699	2010
436	13731	1979
437	13762	1948
438	13792	1916
439	13825	1885
440	13862	1854
441	13898	1823
442	13932	1792
443	13972	1762
444	14017	1732
445	14053	1701
446	14087	1670
447	14115	1638
448	14152	1607
449	14181	1575
450	14210	1543
451	14242	1512
452	14275	1481
453	14312	1450
454	14348	1419
455	14387	1388
456	14423	1357
457	14460	1326
458	14504	1295
459	14537	1264
460	14568	1232
461	14599	1200
462	14627	1168
463	14656	1137
464	14685	1105
465	14714	1073
466	14746	1042
467	14776	1010
468	14808	978
469	14835	946
470	14863	915
471	14891	883
472	14923	851
473	14950	820
474	14979	788
475	15008	756
476	15040	725
477	15071	693
478	15103	662
479	15132	630
480	15164	599
481	15194	567
482	15225	535
483	15258	504
484	15290	472
485	15324	441
486	15355	409
487	15386	378
488	15423	346
489	15456	315
490	15485	283
491	15517	252
492	15547	220
493	15574	189
494	15608	157
495	15638	126
496	15677	94
497	15706	63
498	15746	31
499	15776	0
