iter	Passed	Remaining
0	29	14815
1	60	15021
2	87	14479
3	114	14168
4	140	13933
5	171	14143
6	188	13245
7	216	13298
8	247	13506
9	278	13657
10	309	13775
11	341	13887
12	374	14025
13	414	14375
14	446	14428
15	475	14389
16	506	14389
17	536	14358
18	569	14410
19	602	14452
20	618	14105
21	647	14063
22	668	13856
23	697	13825
24	726	13806
25	761	13882
26	788	13814
27	819	13819
28	854	13886
29	890	13944
30	925	14001
31	961	14065
32	1000	14152
33	1023	14023
34	1056	14039
35	1089	14041
36	1117	13987
37	1149	13978
38	1181	13970
39	1208	13900
40	1238	13862
41	1284	14006
42	1297	13790
43	1328	13772
44	1363	13787
45	1394	13766
46	1428	13767
47	1458	13730
48	1470	13531
49	1484	13362
50	1513	13322
51	1533	13208
52	1544	13029
53	1573	12997
54	1600	12953
55	1632	12943
56	1662	12922
57	1688	12867
58	1720	12858
59	1749	12829
60	1779	12803
61	1807	12771
62	1828	12685
63	1858	12658
64	1892	12667
65	1906	12538
66	1925	12442
67	1955	12420
68	1985	12402
69	2013	12369
70	2024	12230
71	2053	12206
72	2082	12180
73	2110	12150
74	2141	12133
75	2169	12103
76	2179	11974
77	2205	11933
78	2237	11921
79	2265	11891
80	2292	11856
81	2318	11820
82	2347	11796
83	2377	11772
84	2408	11760
85	2438	11739
86	2473	11742
87	2503	11723
88	2535	11707
89	2555	11641
90	2585	11619
91	2619	11615
92	2650	11599
93	2683	11592
94	2720	11597
95	2745	11554
96	2783	11564
97	2816	11553
98	2845	11526
99	2877	11509
100	2909	11492
101	2941	11476
102	2970	11447
103	3003	11435
104	3035	11418
105	3066	11396
106	3097	11376
107	3128	11356
108	3160	11335
109	3189	11307
110	3221	11289
111	3254	11272
112	3286	11254
113	3314	11222
114	3344	11197
115	3374	11169
116	3403	11141
117	3434	11116
118	3463	11090
119	3493	11062
120	3523	11035
121	3553	11009
122	3584	10986
123	3613	10957
124	3646	10938
125	3679	10921
126	3709	10893
127	3741	10872
128	3776	10860
129	3805	10830
130	3838	10810
131	3867	10782
132	3896	10751
133	3924	10720
134	3963	10717
135	3992	10685
136	4019	10650
137	4051	10628
138	4084	10609
139	4118	10589
140	4150	10567
141	4181	10540
142	4209	10509
143	4240	10484
144	4271	10457
145	4303	10434
146	4341	10425
147	4375	10406
148	4407	10383
149	4437	10353
150	4468	10328
151	4504	10313
152	4538	10293
153	4571	10271
154	4602	10244
155	4631	10212
156	4664	10189
157	4694	10161
158	4724	10132
159	4753	10101
160	4786	10078
161	4815	10046
162	4847	10022
163	4877	9993
164	4911	9971
165	4940	9940
166	4972	9915
167	5006	9892
168	5036	9865
169	5066	9834
170	5101	9814
171	5137	9797
172	5171	9775
173	5200	9743
174	5230	9714
175	5260	9684
176	5290	9653
177	5323	9629
178	5351	9596
179	5383	9570
180	5413	9541
181	5444	9512
182	5472	9479
183	5499	9445
184	5532	9420
185	5559	9385
186	5592	9360
187	5623	9331
188	5652	9300
189	5682	9271
190	5710	9238
191	5739	9207
192	5770	9178
193	5803	9154
194	5832	9122
195	5860	9090
196	5890	9059
197	5917	9025
198	5944	8991
199	5971	8957
200	5999	8924
201	6037	8907
202	6068	8878
203	6095	8843
204	6126	8816
205	6160	8792
206	6192	8765
207	6223	8736
208	6255	8709
209	6288	8684
210	6329	8669
211	6361	8641
212	6390	8611
213	6423	8584
214	6458	8561
215	6487	8530
216	6517	8499
217	6549	8471
218	6583	8447
219	6614	8418
220	6646	8390
221	6678	8363
222	6710	8335
223	6741	8306
224	6770	8274
225	6800	8245
226	6832	8216
227	6868	8193
228	6897	8163
229	6932	8137
230	6962	8107
231	6990	8075
232	7020	8044
233	7049	8013
234	7076	7980
235	7109	7952
236	7138	7921
237	7168	7891
238	7200	7863
239	7230	7832
240	7262	7804
241	7291	7773
242	7325	7747
243	7361	7723
244	7391	7693
245	7428	7669
246	7457	7638
247	7486	7607
248	7525	7586
249	7555	7555
250	7589	7528
251	7623	7502
252	7658	7477
253	7689	7447
254	7721	7418
255	7754	7390
256	7786	7361
257	7816	7331
258	7851	7305
259	7879	7272
260	7908	7242
261	7937	7210
262	7970	7182
263	8002	7154
264	8034	7125
265	8065	7095
266	8094	7063
267	8122	7031
268	8152	7000
269	8183	6970
270	8215	6942
271	8245	6911
272	8275	6881
273	8308	6853
274	8339	6822
275	8370	6793
276	8403	6764
277	8437	6738
278	8467	6707
279	8501	6679
280	8534	6651
281	8570	6625
282	8599	6593
283	8632	6565
284	8664	6536
285	8705	6513
286	8738	6485
287	8767	6454
288	8801	6425
289	8838	6400
290	8870	6371
291	8900	6340
292	8930	6309
293	8960	6278
294	8990	6247
295	9021	6217
296	9054	6188
297	9088	6160
298	9121	6132
299	9150	6100
300	9178	6068
301	9210	6038
302	9239	6007
303	9273	5978
304	9303	5948
305	9337	5919
306	9365	5887
307	9395	5856
308	9427	5827
309	9464	5800
310	9501	5774
311	9533	5744
312	9564	5714
313	9596	5684
314	9628	5655
315	9659	5624
316	9692	5595
317	9729	5568
318	9760	5538
319	9791	5507
320	9821	5476
321	9862	5451
322	9900	5425
323	9930	5394
324	9959	5362
325	9991	5332
326	10027	5305
327	10058	5274
328	10091	5245
329	10123	5215
330	10153	5184
331	10183	5153
332	10214	5122
333	10244	5091
334	10277	5062
335	10309	5031
336	10340	5001
337	10372	4971
338	10400	4939
339	10431	4908
340	10460	4877
341	10490	4846
342	10516	4813
343	10544	4781
344	10572	4749
345	10601	4718
346	10633	4688
347	10665	4658
348	10694	4627
349	10734	4600
350	10772	4573
351	10802	4542
352	10834	4511
353	10864	4480
354	10895	4450
355	10927	4420
356	10958	4389
357	10989	4359
358	11020	4328
359	11057	4300
360	11095	4272
361	11126	4241
362	11158	4211
363	11191	4181
364	11226	4152
365	11258	4121
366	11288	4091
367	11321	4060
368	11351	4029
369	11380	3998
370	11413	3968
371	11448	3939
372	11478	3908
373	11510	3877
374	11538	3846
375	11570	3815
376	11602	3785
377	11634	3755
378	11665	3724
379	11696	3693
380	11726	3662
381	11756	3631
382	11798	3604
383	11838	3576
384	11868	3545
385	11899	3514
386	11930	3483
387	11961	3452
388	11990	3421
389	12021	3390
390	12052	3359
391	12080	3328
392	12110	3297
393	12145	3267
394	12177	3236
395	12209	3206
396	12246	3177
397	12284	3148
398	12316	3117
399	12347	3086
400	12379	3056
401	12409	3025
402	12439	2994
403	12470	2963
404	12504	2933
405	12533	2901
406	12564	2871
407	12597	2840
408	12630	2810
409	12661	2779
410	12691	2748
411	12725	2718
412	12757	2687
413	12788	2656
414	12817	2625
415	12850	2594
416	12881	2563
417	12912	2533
418	12947	2502
419	12984	2473
420	13014	2442
421	13046	2411
422	13074	2380
423	13108	2349
424	13138	2318
425	13166	2287
426	13196	2256
427	13226	2225
428	13260	2194
429	13292	2163
430	13322	2132
431	13355	2102
432	13387	2071
433	13420	2040
434	13456	2010
435	13488	1979
436	13517	1948
437	13546	1917
438	13577	1886
439	13606	1855
440	13637	1824
441	13667	1793
442	13697	1762
443	13726	1731
444	13756	1700
445	13785	1669
446	13817	1638
447	13849	1607
448	13879	1576
449	13911	1545
450	13940	1514
